# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/012-gpuph-vs-powermetrics-mhz/raw/20260428T221203-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/012-gpuph-vs-powermetrics-mhz/raw/20260428T221203-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  22:12:56    119 mW   1620 mW      0 mW    431 mW    771 mW    849 mW      9 mW    327 mW      2 mW      2 mW      0 mW
  22:12:56    143 mW   1688 mW      0 mW    470 mW    771 mW    920 mW     12 mW    349 mW      2 mW      0 mW      0 mW
  22:12:57    110 mW   1510 mW      0 mW    384 mW    647 mW    775 mW      9 mW    311 mW      2 mW      2 mW      0 mW
  22:12:57    159 mW   1801 mW      0 mW    513 mW    814 mW    985 mW     12 mW    349 mW      2 mW      2 mW      0 mW
  22:12:57    135 mW   1606 mW      0 mW    370 mW    633 mW    659 mW      9 mW    324 mW      0 mW      2 mW      0 mW
  22:12:58    107 mW   1643 mW      0 mW    465 mW    797 mW    956 mW      9 mW    334 mW      2 mW      2 mW      0 mW
  22:12:58    159 mW   1968 mW      0 mW    440 mW    691 mW    754 mW     12 mW    330 mW      2 mW      2 mW      0 mW
  22:12:59    135 mW   1797 mW      0 mW    527 mW    897 mW   1019 mW     12 mW    326 mW      2 mW      2 mW      0 mW
  22:12:59    135 mW   1755 mW      0 mW    470 mW    747 mW    901 mW      9 mW    314 mW      2 mW      2 mW      0 mW
  22:13:00    123 mW   1525 mW      0 mW    394 mW    703 mW    773 mW     12 mW    343 mW      2 mW      0 mW      0 mW
  22:13:00    157 mW   1693 mW      0 mW    505 mW    868 mW   1032 mW     12 mW    332 mW      2 mW      2 mW      0 mW
  22:13:00    125 mW   1590 mW      0 mW    412 mW    705 mW    777 mW      7 mW    326 mW      0 mW      2 mW      0 mW
  22:13:01    106 mW   1469 mW      0 mW    368 mW    654 mW    762 mW      9 mW    317 mW      2 mW      2 mW      0 mW
  22:13:01    149 mW   1594 mW      0 mW    403 mW    667 mW    767 mW     12 mW    341 mW      2 mW      2 mW      0 mW
  22:13:02    121 mW   1387 mW      0 mW    346 mW    673 mW    719 mW      9 mW    327 mW      2 mW      2 mW      0 mW
  22:13:02    146 mW   1715 mW      0 mW    455 mW    743 mW    794 mW     12 mW    332 mW      2 mW      2 mW      0 mW
  22:13:03    115 mW   1521 mW      0 mW    391 mW    738 mW    716 mW      9 mW    316 mW      2 mW      0 mW      0 mW
  22:13:03    157 mW   1720 mW      0 mW    514 mW    869 mW   1027 mW     12 mW    344 mW      2 mW      2 mW      0 mW
  22:13:04    119 mW   1643 mW      0 mW    400 mW    719 mW    792 mW      9 mW    327 mW      2 mW      2 mW      0 mW
  22:13:04    137 mW   1645 mW      0 mW    471 mW    829 mW    913 mW      9 mW    334 mW      0 mW      2 mW      0 mW
  22:13:04    132 mW   1721 mW      0 mW    467 mW    767 mW    808 mW     12 mW    321 mW      2 mW      2 mW      0 mW
