sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
189,0.1,130184351313625,130184353230250,130184353244333,14083,119041,32417,2011042,2162500
190,0.1,130184457937625,130184459958916,130184459973458,14542,125292,36041,2089792,2251125
191,0.1,130184564915333,130184565284916,130184565299458,14542,69834,19666,488375,577875
192,0.1,130184670838708,130184672056166,130184672071208,15042,288750,72750,1173000,1534500
193,0.1,130184777882958,130184780800708,130184780815000,14292,246958,87959,2871375,3206292
194,0.1,130184886633916,130184887702166,130184887714625,12459,268291,64459,1027250,1360000
195,0.1,130184991285666,130184993135000,130184993149083,14083,145875,36292,1902125,2084292
196,0.1,130185098635041,130185099019458,130185099035833,16375,99625,24750,431709,556084
197,0.1,130185204511458,130185206342333,130185206357250,14917,167292,70667,1828458,2066417
198,0.1,130185311835083,130185314322166,130185314335333,13167,123167,32292,2533916,2689375
199,0.1,130185417477791,130185418641500,130185418661083,19583,262334,51791,1121167,1435292
