# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213959.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213959-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:41:19    146 mW   1226 mW      0 mW    368 mW    786 mW    709 mW     11 mW    244 mW      2 mW      2 mW      0 mW
  21:41:20    269 mW   1431 mW      0 mW    405 mW    779 mW    791 mW     24 mW    343 mW      2 mW      2 mW      0 mW
  21:41:20    928 mW   3347 mW      0 mW    569 mW   1199 mW   1671 mW     68 mW    176 mW      2 mW      0 mW      0 mW
  21:41:21    327 mW   2165 mW      0 mW    428 mW    836 mW    907 mW     50 mW    313 mW      2 mW      2 mW      0 mW
  21:41:21     93 mW   1048 mW      0 mW    249 mW    543 mW    545 mW      9 mW    193 mW      0 mW      2 mW      0 mW
  21:41:22    902 mW   3142 mW      0 mW    679 mW   1225 mW   1481 mW     62 mW    351 mW      2 mW      2 mW      0 mW
  21:41:22    711 mW   4197 mW      0 mW    623 mW   1231 mW   1696 mW     85 mW    226 mW      2 mW      2 mW      0 mW
  21:41:22    190 mW   1402 mW      0 mW    394 mW    811 mW    854 mW     16 mW    266 mW      2 mW      2 mW      0 mW
  21:41:23    113 mW   1195 mW      0 mW    350 mW    653 mW    678 mW     13 mW    295 mW      2 mW      2 mW      0 mW
  21:41:23   1024 mW   2603 mW      0 mW    585 mW   1182 mW   1572 mW     66 mW    250 mW      2 mW      2 mW      0 mW
  21:41:24    822 mW   3246 mW      0 mW    644 mW   1223 mW   1541 mW     75 mW    321 mW      2 mW      0 mW      0 mW
  21:41:24     90 mW   1214 mW      0 mW    291 mW    576 mW    587 mW     11 mW    223 mW      2 mW      2 mW      0 mW
  21:41:25    161 mW   1284 mW      0 mW    358 mW    664 mW    649 mW     16 mW    327 mW      0 mW      2 mW      0 mW
  21:41:25   1237 mW   2598 mW      0 mW    557 mW   1189 mW   1624 mW     71 mW    238 mW      2 mW      2 mW      0 mW
  21:41:25    902 mW   3274 mW      0 mW    696 mW   1294 mW   1715 mW     85 mW    322 mW      2 mW      2 mW      0 mW
  21:41:26    117 mW   1220 mW      0 mW    341 mW    684 mW    756 mW     15 mW    256 mW      2 mW      2 mW      0 mW
  21:41:26    134 mW   1049 mW      0 mW    276 mW    607 mW    559 mW     11 mW    240 mW      2 mW      2 mW      0 mW
  21:41:27   1726 mW   2670 mW      0 mW    612 mW   1293 mW   1324 mW     72 mW    355 mW      2 mW      2 mW      0 mW
  21:41:27   1954 mW   2769 mW      0 mW    515 mW   1190 mW   1411 mW     94 mW    186 mW      2 mW      2 mW      0 mW
  21:41:28   1016 mW   2678 mW      0 mW    600 mW   1217 mW   1393 mW     79 mW    309 mW      2 mW      0 mW      0 mW
  21:41:28     97 mW   1357 mW      0 mW    360 mW    692 mW    631 mW      9 mW    179 mW      0 mW      2 mW      0 mW
