# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/013-pwrctrl-recipe-sweep/raw/20260428T222216.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/013-pwrctrl-recipe-sweep/raw/20260428T222216-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  22:23:36    421 mW   1770 mW      0 mW    485 mW   1096 mW   1004 mW     30 mW    325 mW      2 mW      2 mW      0 mW
  22:23:36    437 mW   1788 mW      0 mW    493 mW   1040 mW   1075 mW     31 mW    333 mW      2 mW      0 mW      0 mW
  22:23:37    436 mW   2047 mW      0 mW    500 mW   1046 mW    930 mW     33 mW    330 mW      2 mW      2 mW      0 mW
  22:23:37    428 mW   1938 mW      0 mW    490 mW   1069 mW    970 mW     30 mW    326 mW      0 mW      2 mW      0 mW
  22:23:37    417 mW   1848 mW      0 mW    542 mW   1098 mW   1155 mW     31 mW    327 mW      2 mW      2 mW      0 mW
  22:23:38    433 mW   1823 mW      0 mW    522 mW   1092 mW   1078 mW     31 mW    329 mW      2 mW      2 mW      0 mW
  22:23:38    429 mW   1640 mW      0 mW    422 mW    842 mW    894 mW     30 mW    326 mW      2 mW      2 mW      0 mW
  22:23:39    428 mW   1722 mW      0 mW    485 mW    900 mW    919 mW     33 mW    330 mW      2 mW      0 mW      0 mW
  22:23:39    435 mW   3276 mW      0 mW    571 mW    949 mW   1188 mW     31 mW    326 mW      2 mW      2 mW      0 mW
  22:23:40    433 mW   1794 mW      0 mW    496 mW    884 mW    971 mW     33 mW    333 mW      0 mW      2 mW      0 mW
  22:23:40    407 mW   1707 mW      0 mW    406 mW    784 mW    815 mW     31 mW    323 mW      2 mW      2 mW      0 mW
  22:23:40    434 mW   1770 mW      0 mW    496 mW    914 mW    940 mW     30 mW    332 mW      2 mW      2 mW      0 mW
  22:23:41    426 mW   2060 mW      0 mW    554 mW    976 mW    981 mW     30 mW    325 mW      2 mW      2 mW      0 mW
  22:23:41    434 mW   1799 mW      0 mW    455 mW    858 mW    842 mW     33 mW    330 mW      2 mW      2 mW      0 mW
  22:23:42    416 mW   1881 mW      0 mW    495 mW    890 mW    897 mW     31 mW    329 mW      2 mW      0 mW      0 mW
  22:23:42    428 mW   1866 mW      0 mW    508 mW    867 mW    955 mW     33 mW    326 mW      2 mW      2 mW      0 mW
  22:23:42    442 mW   2003 mW      0 mW    509 mW    906 mW    870 mW     31 mW    335 mW      0 mW      2 mW      0 mW
