# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  06:58:14    554 mW   1583 mW      0 mW    637 mW    790 mW    816 mW     51 mW    354 mW      4 mW      4 mW      0 mW
  06:58:15   5278 mW   2450 mW      0 mW    749 mW   1305 mW   1460 mW    564 mW    316 mW      5 mW      2 mW      0 mW
  06:58:15   7157 mW   2783 mW      0 mW    843 mW   1515 mW   1813 mW    925 mW    288 mW      5 mW      5 mW      0 mW
  06:58:16   8091 mW   2924 mW      0 mW    924 mW   1525 mW   1829 mW   1018 mW    327 mW      5 mW      5 mW      0 mW
  06:58:16   5543 mW   2901 mW      0 mW    880 mW   1460 mW   1731 mW    830 mW    349 mW      2 mW      5 mW      0 mW
  06:58:16    315 mW   1365 mW      0 mW    443 mW    617 mW    657 mW     32 mW    255 mW      4 mW      2 mW      0 mW
  06:58:17    787 mW   1297 mW      0 mW    540 mW    864 mW    838 mW     44 mW    276 mW      4 mW      4 mW      0 mW
  06:58:17  15251 mW   2270 mW      0 mW   1232 mW   1795 mW   1860 mW   2230 mW    369 mW      5 mW      5 mW      0 mW
  06:58:18  16758 mW   3147 mW      0 mW   1420 mW   1854 mW   2145 mW   2973 mW    341 mW      5 mW      5 mW      0 mW
  06:58:18  15131 mW   2677 mW      0 mW   1196 mW   1740 mW   1931 mW   2445 mW    348 mW      2 mW      5 mW      0 mW
  06:58:19  15772 mW   3172 mW      0 mW   1299 mW   1815 mW   2049 mW   2626 mW    349 mW      5 mW      2 mW      0 mW
  06:58:19  15095 mW   2862 mW      0 mW   1325 mW   1817 mW   2014 mW   2453 mW    350 mW      5 mW      5 mW      0 mW
  06:58:20  12357 mW   2739 mW      0 mW   1172 mW   1595 mW   1840 mW   2527 mW    318 mW      4 mW      4 mW      0 mW
  06:58:20    444 mW   1862 mW      0 mW    725 mW   1000 mW   1084 mW     48 mW    339 mW      2 mW      4 mW      0 mW
  06:58:20    366 mW   1412 mW      0 mW    468 mW    720 mW    689 mW     29 mW    244 mW      5 mW      5 mW      0 mW
  06:58:21   5954 mW   3345 mW      0 mW   5740 mW   2764 mW   4048 mW   1063 mW    355 mW      5 mW      2 mW      0 mW
  06:58:21   7594 mW   3037 mW      0 mW   8593 mW   3677 mW   5575 mW   1835 mW    332 mW      4 mW      4 mW      0 mW
  06:58:22   9061 mW   2779 mW      0 mW   9786 mW   4122 mW   6305 mW   2223 mW    351 mW      2 mW      5 mW      0 mW
  06:58:22   8153 mW   2371 mW      0 mW   8092 mW   3509 mW   5270 mW   1832 mW    256 mW      5 mW      2 mW      0 mW
  06:58:23   7368 mW   3011 mW      0 mW   8102 mW   3593 mW   5296 mW   1631 mW    348 mW      5 mW      5 mW      0 mW
  06:58:23   1524 mW   2316 mW      0 mW   2185 mW   1476 mW   1797 mW    504 mW    329 mW      4 mW      4 mW      0 mW
  06:58:24    610 mW   1826 mW      0 mW    761 mW    850 mW    955 mW     59 mW    344 mW      2 mW      4 mW      0 mW
  06:58:24   2811 mW   3292 mW      0 mW   4060 mW   2275 mW   3362 mW    714 mW    362 mW      5 mW      5 mW      0 mW
  06:58:24   5343 mW   3009 mW      0 mW  10262 mW   4539 mW   6842 mW   2084 mW    339 mW      5 mW      2 mW      0 mW
  06:58:25   6123 mW   2716 mW      0 mW  10867 mW   4745 mW   7249 mW   2317 mW    352 mW      5 mW      5 mW      0 mW
  06:58:25   9740 mW   2441 mW      0 mW  11791 mW   4991 mW   7852 mW   3450 mW    344 mW      2 mW      5 mW      0 mW
  06:58:26  10422 mW   2865 mW      0 mW  11923 mW   5083 mW   7943 mW   3492 mW    351 mW      5 mW      2 mW      0 mW
  06:58:26  10373 mW   2716 mW      0 mW  11839 mW   5035 mW   7873 mW   3471 mW    346 mW      5 mW      5 mW      0 mW
  06:58:27   9144 mW   2989 mW      0 mW  11851 mW   5060 mW   7893 mW   3469 mW    347 mW      5 mW      5 mW      0 mW
  06:58:27    601 mW   2210 mW      0 mW   1160 mW   1146 mW   1295 mW    196 mW    331 mW      2 mW      4 mW      0 mW
