attempt_idx,phase,idx_within_phase,attempt_pid,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
2,calibration,5,28261,26405340728541,26405341100791,26405341110458,9667,22416,7709,483958,514083
2,calibration,6,28261,26405341271375,26405341729041,26405341737833,8792,15250,5750,525208,546208
2,calibration,7,28261,26405341862583,26405342249625,26405342258416,8791,22625,7250,445583,475458
2,calibration,8,28261,26405342363458,26405342481875,26405342488625,6750,14625,5208,184208,204041
2,calibration,9,28261,26405342587041,26405342694875,26405342701541,6666,11500,4500,181041,197041
2,measured,0,28261,26405348124916,26405348469708,26405348479583,9875,13625,4542,452708,470875
2,measured,1,28261,26405354018291,26405354147291,26405354154708,7417,9833,4042,237958,251833
2,measured,2,28261,26405359734875,26405359836958,26405359843250,6292,10417,3292,149041,162750
2,measured,3,28261,26405364832291,26405364919625,26405364926875,7250,9542,3042,179958,192542
2,measured,4,28261,26405369940666,26405370017500,26405370024083,6583,9708,2917,125583,138208
2,measured,5,28261,26405375418291,26405375486666,26405375492916,6250,9959,3125,115666,128750
2,measured,6,28261,26405380236333,26405380318916,26405380325208,6292,11750,2833,149709,164292
2,measured,7,28261,26405385141791,26405385214000,26405385220375,6375,9917,2917,124625,137459
2,measured,8,28261,26405390040875,26405390116291,26405390122833,6542,8750,2791,146625,158166
2,measured,9,28261,26405394971500,26405395081833,26405395200375,118542,8375,3042,299041,310458
2,measured,10,28261,26405399928750,26405400009833,26405400016875,7042,8875,2708,145292,156875
2,measured,11,28261,26405404836666,26405404918833,26405404925708,6875,8917,2875,151792,163584
2,measured,12,28261,26405409533916,26405409632583,26405409639500,6917,8875,2750,174708,186333
2,measured,13,28261,26405414416416,26405414499458,26405414506458,7000,9375,2625,151083,163083
2,measured,14,28261,26405419077166,26405419180125,26405419186958,6833,9167,2875,176125,188167
2,measured,15,28261,26405423935541,26405424006208,26405424012833,6625,6833,2458,133709,143000
2,measured,16,28261,26405428900833,26405429019083,26405429026250,7167,7834,2833,184042,194709
2,measured,17,28261,26405433685958,26405433752125,26405433758500,6375,8209,2333,115958,126500
2,measured,18,28261,26405438507708,26405438580291,26405438586500,6209,8084,2625,124291,135000
2,measured,19,28261,26405443210333,26405443307833,26405443314708,6875,7917,2708,173333,183958
2,measured,20,28261,26405448014791,26405448093833,26405448101125,7292,7250,2375,159458,169083
2,measured,21,28261,26405453077291,26405453160000,26405453167125,7125,7542,2667,162708,172917
2,measured,22,28261,26405457845125,26405457924333,26405457931083,6750,7875,2750,135583,146208
2,measured,23,28261,26405462624083,26405462707041,26405462714125,7084,7750,2417,138167,148334
2,measured,24,28261,26405467522916,26405467588916,26405467592625,3709,7750,2459,136500,146709
2,measured,25,28261,26405472052833,26405472168625,26405472173375,4750,8666,2542,221708,232916
2,measured,26,28261,26405477040333,26405477145041,26405477148958,3917,10334,3083,168167,181584
2,measured,27,28261,26405481619083,26405481726041,26405481730416,4375,8458,3167,213833,225458
2,measured,28,28261,26405485729833,26405485797500,26405485800500,3000,9500,2959,114750,127209
2,measured,29,28261,26405490066250,26405490162291,26405490166375,4084,7500,2541,206625,216666
2,measured,30,28261,26405494303208,26405494400458,26405494403958,3500,7000,2667,210000,219667
2,measured,31,28261,26405498697125,26405498810541,26405498813958,3417,7541,2542,197000,207083
2,measured,32,28261,26405502643000,26405502729041,26405502731625,2584,5917,1750,134958,142625
2,measured,33,28261,26405506373708,26405506464208,26405506466916,2708,7000,2167,168500,177667
2,measured,34,28261,26405510349458,26405510414208,26405510416875,2667,6625,2375,117375,126375
2,measured,35,28261,26405514198875,26405514291208,26405514293958,2750,7375,2833,168333,178541
2,measured,36,28261,26405517764291,26405517927958,26405517930250,2292,6792,2333,219833,228958
2,measured,37,28261,26405521139625,26405521213625,26405521215916,2291,6625,2667,141875,151167
2,measured,38,28261,26405524932000,26405525002500,26405525004875,2375,5958,2292,126125,134375
2,measured,39,28261,26405527996250,26405528065166,26405528067458,2292,5917,2083,123167,131167
2,measured,40,28261,26405531418208,26405531502125,26405531504708,2583,6209,2208,156750,165167
2,measured,41,28261,26405534965791,26405535030625,26405535032666,2041,6083,2167,112750,121000
2,measured,42,28261,26405538110791,26405538179083,26405538181000,1917,6875,3208,113625,123708
2,measured,43,28261,26405541102458,26405541154958,26405541157041,2083,6708,2208,94667,103583
2,measured,44,28261,26405543699416,26405543745875,26405543747833,1958,6125,1875,85958,93958
2,measured,45,28261,26405546293041,26405546343708,26405546345916,2208,5792,1875,108541,116208
2,measured,46,28261,26405548957041,26405549007000,26405549009166,2166,6208,1917,106708,114833
2,measured,47,28261,26405551554500,26405551603000,26405551604916,1916,6667,2000,92416,101083
2,measured,48,28261,26405554037041,26405554083291,26405554085083,1792,5000,1542,81291,87833
2,measured,49,28261,26405556384500,26405556432833,26405556434583,1750,6208,2042,96666,104916
2,measured,50,28261,26405559001541,26405559048125,26405559049958,1833,7417,2083,80667,90167
2,measured,51,28261,26405561386208,26405561450625,26405561452458,1833,6625,2125,102500,111250
2,measured,52,28261,26405563951083,26405564002250,26405564004333,2083,6542,1917,107333,115792
2,measured,53,28261,26405566628958,26405566680333,26405566682291,1958,6417,1917,98291,106625
2,measured,54,28261,26405568995375,26405569042625,26405569044416,1791,6083,1834,90041,97958
2,measured,55,28261,26405571529583,26405571580916,26405571583000,2084,6458,1875,96625,104958
