axis,complexity_level,sweep_idx,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
write_tid_threadcount,32,0,173,5589870437208,5589870511000,5589870517333,6333,7792,2833,126958,137583
write_tid_threadcount,32,0,174,5589870719250,5589870790833,5589870797291,6458,5875,2084,134416,142375
write_tid_threadcount,32,0,175,5589871141791,5589871213083,5589871219250,6167,6041,2000,130667,138708
write_tid_threadcount,32,0,176,5589871426500,5589871496500,5589871502875,6375,5917,2166,120292,128375
write_tid_threadcount,32,0,177,5589871687916,5589871759750,5589871766083,6333,5667,2042,134208,141917
write_tid_threadcount,32,0,178,5589871977958,5589872047625,5589872054083,6458,5834,2000,132166,140000
write_tid_threadcount,32,0,179,5589872254125,5589872318291,5589872324500,6209,6042,2000,115083,123125
write_tid_threadcount,32,0,180,5589872528416,5589872599208,5589872605708,6500,5916,2042,125417,133375
write_tid_threadcount,32,0,181,5589872790375,5589872856458,5589872862625,6167,5834,2000,119333,127167
write_tid_threadcount,32,0,182,5589873047833,5589873119041,5589873125416,6375,5791,1917,131708,139416
write_tid_threadcount,32,0,183,5589873336875,5589873409541,5589873415708,6167,6125,2042,129500,137667
write_tid_threadcount,32,0,184,5589873607208,5589873670208,5589873676708,6500,5834,2000,111833,119667
write_tid_threadcount,32,0,185,5589873876625,5589873948375,5589873954708,6333,5875,2083,126500,134458
write_tid_threadcount,32,0,186,5589874159125,5589874228541,5589874234875,6334,5875,2000,116625,124500
write_tid_threadcount,32,0,187,5589874408500,5589874479750,5589874485875,6125,5833,2042,130042,137917
write_tid_threadcount,32,0,188,5589874692000,5589874763583,5589874769875,6292,5875,2042,133292,141209
write_tid_threadcount,32,0,189,5589874985041,5589875048125,5589875054458,6333,5916,2167,112083,120166
write_tid_threadcount,32,0,190,5589875253666,5589875323875,5589875330291,6416,6000,2041,130500,138541
write_tid_threadcount,32,0,191,5589875537583,5589875606625,5589875612708,6083,5750,2041,116959,124750
write_tid_threadcount,32,0,192,5589875789625,5589875861208,5589875867583,6375,5792,1958,133917,141667
write_tid_threadcount,32,0,193,5589876080083,5589876151750,5589876157958,6208,5791,2000,130917,138708
write_tid_threadcount,32,0,194,5589876349458,5589876412500,5589876418833,6333,5667,1958,109959,117584
write_tid_threadcount,32,0,195,5589876615291,5589876687166,5589876693416,6250,5833,2000,125208,133041
write_tid_threadcount,32,0,196,5589876893958,5589876961833,5589876968166,6333,5750,1958,124917,132625
write_tid_threadcount,32,0,197,5589877158708,5589877229833,5589877236083,6250,6000,2084,131625,139709
write_tid_threadcount,32,0,198,5589877441583,5589877511750,5589877518375,6625,5875,2000,125416,133291
write_tid_threadcount,32,0,199,5589877710916,5589877775250,5589877781458,6208,5708,1958,111209,118875
write_tid_threadcount,32,0,200,5589877977791,5589878049250,5589878055541,6291,5917,2000,132208,140125
write_tid_threadcount,32,0,201,5589878259125,5589878330791,5589878337041,6250,5917,1958,127542,135417
write_tid_threadcount,32,0,202,5589878521791,5589878592291,5589878598750,6459,5750,1958,127834,135542
write_tid_threadcount,32,0,203,5589878804208,5589878875166,5589878881458,6292,5791,1959,132125,139875
write_tid_threadcount,32,0,204,5589879078916,5589879143083,5589879149625,6542,5750,1958,111542,119250
write_tid_threadcount,32,0,205,5589879446833,5589879500458,5589879506708,6250,5584,1958,96292,103834
write_tid_threadcount,32,0,206,5589879682333,5589879738250,5589879744708,6458,7416,1959,107958,117333
write_tid_threadcount,32,0,207,5589879934125,5589879986125,5589879992333,6208,6792,1958,93667,102417
write_tid_threadcount,32,0,208,5589880151125,5589880201750,5589880208041,6291,6875,1833,93209,101917
write_tid_threadcount,32,0,209,5589880367791,5589880420833,5589880427166,6333,8625,1792,94708,105125
write_tid_threadcount,32,0,210,5589880588583,5589880644000,5589880650375,6375,6792,1625,108750,117167
write_tid_threadcount,32,0,211,5589880836500,5589880887000,5589880893208,6208,6875,1917,92750,101542
write_tid_threadcount,32,0,212,5589881050125,5589881100875,5589881107166,6291,6833,1792,91875,100500
write_tid_threadcount,32,0,213,5589881263500,5589881321750,5589881328125,6375,6917,1833,111584,120334
write_tid_threadcount,32,0,214,5589881519500,5589881573958,5589881580333,6375,6750,1833,108167,116750
write_tid_threadcount,32,0,215,5589881767625,5589881820000,5589881826125,6125,7042,1833,94709,103584
write_tid_threadcount,32,0,216,5589881986833,5589882036416,5589882042791,6375,6542,1708,92459,100709
